Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/28/2025 1:00:00 AM,0.0351627168693085,0.03125,0.125,0.03125,0,0,0,0.125,0,0,0.125
2/28/2025 2:00:00 AM,0.036126345631601,0,0,0.03125,0,0,0,0,0,0,0.125
2/28/2025 3:00:00 AM,0.0356543293182767,0.0625,0,0,0,0,0.25,0,0,0.124584717676044,0
2/28/2025 4:00:00 AM,0.0361295248485476,0.03125,0,0.03125,0.125,0,0,0.125,0,0.125415282323956,0.124583333265036
2/28/2025 5:00:00 AM,0.0361328124990905,0,0,0,0,0,0,0.125,0,0.125,0.000416666734963655
2/28/2025 6:00:00 AM,0.0361458333336486,0.03125,0.25,0.03125,0.25,0,0.25,0,0,0,0.25
2/28/2025 7:00:00 AM,0.0595703125,0.09375,1.75,1.07656250003492,3.37396179401549,0,2.5,0.875,0,1.125,4.24875000002794
2/28/2025 8:00:00 AM,3.39794921875,3.56083887041314,11.375,9.74666511191754,35.2197882059845,0,14.25,3.625,0,14.1195893452968,26.4783651718171
2/28/2025 9:00:00 AM,7.33544921875,7.90582779626129,23.125,19.9330537950736,72.25,0,5.25,17.5,0,29.3804106547032,53.7728848281549
2/28/2025 10:00:00 AM,14.431640625,16.0622916666907,45.25,39.7296560929972,142.03125,0,0,47.375,0,91.125,107.25
2/28/2025 11:00:00 AM,16.1560010088988,17.2811458333163,48.875,42.7328124999767,152.625,0,0.25,32,0,83.4181352884043,119.25
2/28/2025 12:00:00 PM,14.9840740663712,15.8445833332953,40.5,34.929999999993,127.09375,0,0,40.125,0,66.9428315265104,100.25
2/28/2025 1:00:00 PM,8.0380909920932,7.96812500001397,23.625,20.8566915423144,73,0,0,24.8693118756637,0,41.230960017303,68.875
2/28/2025 2:00:00 PM,7.57574018263676,7.40791839698795,26.75,24.5883084576926,83.03125,0,0,19.128329633968,0,49.0101565010846,68.9920833334327
2/28/2025 3:00:00 PM,8.4188062655212,7.03176910302136,21.25,19.93359375,67.71875,0,0.25,14.0023584903684,0,36.6302527219523,64.5079166665673
2/28/2025 4:00:00 PM,2.0321806790389,2.53125,7.875,6.984375,25.9375,0,0,11.875,0,15.0082526858896,32.3704166666139
